Date,Observed,Trend,Seasonal,Remainder,Seasonally_Adjusted
2012-01-01,4788.0,4513.226455459178,247.20606164363983,27.567482897181435,4540.79393835636
2012-02-01,4374.0,4512.175180414782,-144.0542503217282,5.879069906946825,4518.054250321728
2012-03-01,4555.0,4511.351252462776,43.70431103176266,-0.055563494538546365,4511.295688968237
2012-04-01,4306.0,4510.773791418848,-211.64531943242298,6.871528013574789,4517.645319432423
2012-05-01,5286.0,4510.464023575378,799.6795928517139,-24.14361642709173,4486.320407148286
2012-06-01,4405.0,4510.445745712385,-168.52676477155072,63.081019059165556,4573.526764771551
2012-07-01,4224.0,4510.750055424431,-195.02888842735086,-91.72116699708022,4419.0288884273505
2012-08-01,3392.0,4511.393145166507,-1157.0860075554585,37.69286238895165,4549.086007555458
2012-09-01,4555.0,4512.412127554424,15.078407570431859,27.50946487514466,4539.921592429569
2012-10-01,5244.0,4513.822418286825,802.0823047631588,-71.90472304998366,4441.917695236842
2012-11-01,4754.0,4515.619798651214,276.1045135144302,-37.72431216564473,4477.89548648557
2012-12-01,4239.0,4518.155764350476,-191.6442391031971,-87.51152524727877,4430.644239103197
2013-01-01,4633.0,4525.229849825759,103.23854636102469,4.5316038132168615,4529.761453638976
2013-02-01,4337.0,4534.166884828131,-208.99430538459157,11.82742055646122,4545.994305384592
2013-03-01,4555.0,4545.196288093484,87.31850297227284,-77.51479106575698,4467.681497027727
2013-04-01,4963.0,4557.70280811566,-142.82500519708796,548.1221970814277,5105.825005197088
2013-05-01,5421.0,4571.161483137642,702.5444311963181,147.2940856660398,4718.455568803682
2013-06-01,4405.0,4585.4896463539435,-113.71100797944175,-66.7786383745015,4518.711007979442
2013-07-01,4457.0,4600.514298137787,-172.3759196561507,28.86162151836379,4629.3759196561505
2013-08-01,3468.0,4615.344819052351,-1137.635443898193,-9.709375154158806,4605.6354438981925
2013-09-01,4555.0,4629.095447306865,41.38780217023697,-115.48324947710171,4513.612197829763
2013-10-01,5498.0,4641.8055302155935,794.7275760967048,61.466893687701486,4703.272423903295
2013-11-01,5072.0,4653.629813535413,294.7801251126598,123.59006135192703,4777.21987488734
2013-12-01,4566.0,4665.201712210725,-147.98060058943372,48.77888837870796,4713.980600589433
2014-01-01,4602.0,4676.856067390279,-26.787757237948014,-48.06831015233092,4628.787757237948
2014-02-01,4376.0,4688.49747246027,-268.84096677413476,-43.65650568613546,4644.840966774134
2014-03-01,4920.0,4700.387495007304,121.98436674164431,97.6281382510515,4798.015633258356
2014-04-01,4617.0,4711.893165852282,-71.53149800591633,-23.36166784636589,4688.531498005917
2014-05-01,5268.0,4722.3854667923815,615.8151151916018,-70.20058198398328,4652.184884808398
2014-06-01,4608.0,4732.44058411555,-56.701785331557055,-67.73879878399293,4664.701785331557
2014-07-01,4682.0,4742.457861067328,-160.0240401198081,99.56617905248004,4842.024040119808
2014-08-01,3565.0,4752.521172386046,-1111.8668076285721,-75.65436475747356,4676.866807628572
2014-09-01,4905.0,4763.190138751855,65.29450298964113,76.51535825850442,4839.705497010359
2014-10-01,5617.0,4774.717883182284,779.6557504429749,62.62636637474134,4837.344249557025
2014-11-01,4943.0,4786.273124135964,317.25558440163036,-160.52870853759487,4625.744415598369
2014-12-01,4821.0,4797.026725877368,-117.35659263972727,141.3298667623585,4938.356592639727
2015-01-01,4554.0,4806.889734891595,-137.9863915920368,-114.9033432995584,4691.986391592037
2015-02-01,4215.0,4815.975520710828,-328.10932448558833,-272.86619622523995,4543.109324485588
2015-03-01,5093.0,4823.672717617259,150.64385729514717,118.6834250875936,4942.356142704853
2015-04-01,4825.0,4829.5494755801055,3.726964766713137,-8.276440346819072,4821.2730352332865
2015-05-01,5171.0,4833.907158814297,523.1035082192312,-186.01066703352808,4647.896491780769
2015-06-01,4918.0,4837.170766291139,6.380622565935073,74.44861114292507,4911.6193774340645
2015-07-01,4772.0,4839.411441276921,-157.67414160879946,90.26270033187848,4929.6741416088
2015-08-01,3738.0,4840.872409194258,-1082.14442312096,-20.72798607329787,4820.14442312096
2015-09-01,4943.0,4841.173681946703,97.19901509138359,4.627302961913301,4845.800984908617
2015-10-01,5566.0,4840.321300761959,735.0966140213571,-9.41791478331561,4830.903385978643
2015-11-01,5212.0,4839.2325129633955,329.9693564483534,42.7981305882513,4882.030643551647
2015-12-01,4731.0,4838.329571425483,-113.11378930919449,5.78421788371179,4844.1137893091945
2016-01-01,4554.0,4838.064755461666,-138.6003374799285,-145.46441798173782,4692.600337479928
2016-02-01,4466.0,4838.659751076868,-366.7885611534706,-5.871189923397651,4832.78856115347
2016-03-01,4879.0,4840.250287605857,123.61106291417937,-84.86135052003647,4755.3889370858205
2016-04-01,4950.0,4843.988934028736,19.270203613311754,86.74086235795221,4930.729796386689
2016-05-01,5323.0,4850.738245473493,506.72080486761496,-34.459050341108195,4816.279195132385
2016-06-01,4916.0,4859.901951972414,84.64901101304038,-28.550962985455044,4831.350988986959
2016-07-01,4580.0,4870.962595087908,-211.5351073851706,-79.42748770273738,4791.535107385171
2016-08-01,3895.0,4883.947338826807,-1028.0285874294489,39.08124860264161,4923.028587429449
2016-09-01,4974.0,4898.77196712669,102.36922644346247,-27.1411935701517,4871.630773556538
2016-10-01,5320.0,4914.4603161537125,697.5223890172161,-291.98270517092897,4622.4776109827835
2016-11-01,5267.0,4930.607270866472,343.5583379289151,-7.165608795387016,4923.441662071085
2016-12-01,5320.0,4947.193667199133,-190.37613803996877,563.1824708408358,5510.376138039969
2017-01-01,4923.0,4963.889541088511,-75.08680756984727,34.197266481336555,4998.086807569847
2017-02-01,4595.0,4980.827225547545,-384.3235607555224,-1.5036647920223913,4979.3235607555225
2017-03-01,5493.0,4998.123016369185,99.66092174572897,395.21606188508576,5393.339078254271
2017-04-01,4707.0,5014.963983332678,17.304547520995055,-325.2685308536729,4689.695452479005
2017-05-01,5578.0,5030.689490306349,574.9429570916475,-27.632447397996657,5003.057042908353
2017-06-01,5227.0,5045.079458063871,119.10581775375971,62.81472418236899,5107.89418224624
2017-07-01,4738.0,5058.267931842194,-271.07600694107396,-49.19192490112073,5009.0760069410735
2017-08-01,4113.0,5070.40147726437,-989.4086485217108,32.007171257339905,5102.40864852171
2017-09-01,5246.0,5082.269005790318,67.46652171829028,96.26447249139164,5178.53347828171
2017-10-01,5654.0,5094.454085385368,678.8377148661887,-119.2918002515562,4975.162285133812
2017-11-01,5479.0,5107.3692012240945,330.40313322881167,41.22766554709415,5148.596866771189
2017-12-01,4839.0,5121.050584606874,-295.21600789558613,13.16542328871219,5134.216007895586
2018-01-01,5158.0,5135.747963834006,46.901496810638285,-24.649460644644932,5111.0985031893615
2018-02-01,4718.0,5151.393580525695,-384.68768394541655,-48.70589658027893,5102.687683945416
2018-03-01,5224.0,5167.564584853927,98.58769798609836,-42.15228284002569,5125.412302013901
2018-04-01,5087.0,5184.535442757157,4.78120983601685,-102.3166525931747,5082.218790163983
2018-05-01,5892.0,5203.66170330188,618.4771280772469,69.86116862087329,5273.522871922753
2018-06-01,5336.0,5226.560640101677,117.2553044900169,-7.815944591693551,5218.744695509983
2018-07-01,4981.0,5254.026907868879,-264.963304759569,-8.063603109309952,5245.963304759569
2018-08-01,4266.0,5285.039239085001,-1002.6263870872912,-16.412851997710277,5268.626387087291
2018-09-01,5264.0,5318.344399464956,57.820153274310506,-112.16455273926658,5206.1798467256895
2018-10-01,6098.0,5353.217806670886,682.2864368054926,62.49575652362182,5415.7135631945075
2018-11-01,5648.0,5389.1437487557,319.777348347425,-60.92109710312434,5328.222651652575
2018-12-01,4975.0,5425.705325094429,-269.6879919659023,-181.01733312852684,5244.687991965902
2019-01-01,5149.0,5462.963930112653,-1.7486404517554863,-312.2152896608968,5150.748640451756
2019-02-01,5138.0,5501.5349518310695,-374.65095688505653,11.116005053986555,5512.650956885056
2019-03-01,5715.0,5542.210122482139,129.5385200953182,43.25135742254315,5585.461479904682
2019-04-01,5630.0,5584.96409999836,-18.165947269528402,63.201847271167935,5648.165947269528
